id,type,text1,text2,text3,text4,notes
planet_yami_persean,CUSTOM,"League traders have set up a small waystation on this once-hostile planet. Masquerading as independent traders, their paperwork is barely legitimate enough to prevent forcible eviction from their new home. Goods often sit here in the prison storage for many cycles before being transported across the Sector when prices finally rise.",,,,
planet_yami_pirates,CUSTOM,"Pirate and smuggler bases formed from planetary prisons dot the surface of this moon. Most buildings are clad in thick armor with windows and exterior lights removed in an effort to reduce their visual and sensor profiles. For the moment, the colony's existence is begrudgingly ignored as smugglers of illegal drugs from Yami supplement the system's medical supply shortages.",,,,
planet_yami_sindrian_diktat,CUSTOM,"Sindrian merchants have set up a small waystation on this planet, taking advantage of the tax-free land and the extensive mining-industrial infrastructure. Other polities in the system care little for the moon, viewing it as little more than a stockpile of raw materials to either seize by force or buy from if prices elsewhere spike.",,,,
planet_yami_tritachyon,CUSTOM,"Small automated mining operations have replaced the prison-mining operations installed by Iron Shell, increasing their efficiency over their previous configuration. The colony's main feature is a cutting-edge Tri-Tachyon research lab set up in Yami's prisons, relying on plentiful and expendable labour and test subjects. It's hard to say if conditions have gotten better or worse for the prisoners under their new jailors. No prisoner has ever escaped to explain how they feel about the change in management.",,,,
planet_hanan_pacha_ironshell,CUSTOM,"A crematory world laid to waste by forbidden planet-cracker weapons, the ashes of the millions of dead in the atmosphere are being cleaned up by the current planetary administration in an effort to restore the planet.",,"Hanan Pacha was razed by forbidden planet-cracker weapons during the course of the Second AI War (which did not, of course, itself involve AI as the First AI War did, but rather concerned the right to perform inspections into alleged development of AI). The issue of investigation into the details of said forbidden weapon deployment was initially dropped, but complications after the peace agreement has caused the Iron Shell leadership to investigate as well as cleaning up to restore the planet.",,
planet_kanni_ironshell,CUSTOM,"An underpaid mercenary company decided to exploit the political chaos following the Second AI war by taking control of Kanni, a megacorp resource-extraction outfit. The remote mining outpost used to be controlled by a revolving committee of brigands, but the official request to the Hegemony to repossess the expropriated facilities and equipment was granted with the efforts of the Iron Shell.",,,,
#Fighters,,,,,,
eis_broadsword,SHIP,This refit of the Broadsword comes equipped with an upgraded armor package and twin Dual Light Machine Guns. It has an upscaled flux pool allowing for better constant fire at the cost of increased maintenance requirements limiting the number of fighters in the wing.,,,,
eis_gladius,SHIP,"Fast, deadly, and well-armored, the Gladius excels at improving both the firepower and survivability of interceptor groups. The XIV variant of the Gladius comes with an upgraded armor package and mounts a full-size Railgun in place of the IR Pulse Laser, significantly improving its lethality against heavily shielded opponents.",,,,
eis_xyphos,SHIP,A testbed for a close support fighter built around the Xyphos frame. This XIV variant sports a downscaled Devastator Cannon and excels at point-defense and anti-fighter roles. More daring commanders employ these fighters on close-combat vessels to make the most of the powerful weapons these fighters possess.,,,,
eis_warthog,SHIP,"The XIV variant of the Warthog is an extreme conversion, with a compact Arbalest cannon installed in place of its mortars. The fighter now serves as a long-range shield breaker instead of a short-range assault fighter.",,,,
eis_kopis,SHIP,"Despite its unorthodox appearance, the so-called 'chaingun with engines,' Kopis fighter was originally designed for the Fourteenth Battlegroup as a different take on the light bomber role. The Kopis is a modification of early prototypes of the Claw fighter and is capable of destroying armored enemy vessels despite having a much lower logistical cost in comparison to similar bombers.",,,,
eis_khopesh,SHIP,"More a support fighter than a bomber due to its bulky and unwieldy nature, the Fourteenth Battlegroup Khopesh carries pods of cheaper, reloadable Annihilator missiles. As a result, it can lay down withering rocket barrages on its targets for extended periods from the safety of friendly battle lines.",,,,
eis_gunshield,SHIP,"Designed to counteract the lack of point defense on certain Iron Shell vessels, Gunshield drones offer improved defensive capabilities over the more maintenance-intensive Gunblade. These drones are piloted remotely by Delta level AI, implemented in strict compliance with Hegemony regulations.",,,,
eis_gunblade,SHIP,"Developed to enhance the capabilities of Iron Shell's frigate designs, Gunblade drones come equipped with Light Assault Gun and Ion Cannons, as well as PD functionality.",,,,
eis_thunder,SHIP,"Extremely fast and well-armed, the Thunder enables a carrier to rapidly inflict damage to enemies within a defined kill zone. This Fourteenth Battlegroup refit comes with an upgraded armor package at the cost of a lower operational range, and trades the Swarmer SRM Launcher for a Light Annihilator Rocket Pod, allowing it to function as a light bomber in a pinch.",,,,
eis_thunder_mk2,SHIP,"Extremely fast and well-armed, the Thunder's strength lies in enabling a carrier to rapidly inflict damage to enemies within a defined killzone. The Fourteenth's Mark II upgrade package opts to replace the human pilot entirely with a Delta level AI. It also comes equipped with upgraded armor at the expense of operational range, and replaces the missile rack with a second Ion Cannon.",,,,
eis_amity,SHIP,"Equipped with a large payload of Harpoons and Breaches for a hit-and-run bombing pattern, the Amity were once known for its high survival and long endurance before resupplying. Its demanding logistical profile as a bomber drone made it obsolete out as other conventional bombers carrying heavier payload became much cheaper to produce.",,,,
#Fighters with codex entries,,,,,,
eis_peacekeeper,SHIP,"The Peacekeeper is an advanced space superiority interceptor design in use by Iron Shell. Armed with a downscaled Devastator Cannon as well as a pair of anti-fighter missile launchers, this interceptor excels against enemy fighters. As their Delta-level AI processing cores are fine-tuned for targeting and hunting enemy fighters, Peacekeepers are less effective against conventional warships.
 
 The Peacekeeper interceptor is an infrequent sight in Iron Shell fleets for a multitude of reasons. They require that a single highly-skilled pilot directly interfaces with the fighter's Delta-level AI, something that very few human pilots are willing to do. Furthermore, long-term use of the AI synchronization system has been shown to cause mental instability in some pilots who, having grown so accustomed to their link with the AI subprocessor, struggle to make sense of reality out of the cockpit. Because of these problems, mandatory weekly flight hour limitations are required to allow Peacekeeper pilots time to reacclimate. Luddic pilots are not allowed to command these fighters to prevent political issues from arising with the Luddic Church. Because of these considerations, the duty of piloting the Peacekeeper is offered to only the best pilots employed by the Hegemony. Those few pilots brave (or foolish) enough to pilot the fighter are a rare commodity indeed.	",,,,
eis_dagger,SHIP,"A precursor to what is now known as the Dagger torpedo bomber, the Fourteenth Battlegroup variant of the Dagger strike craft utilizes a modified Hammer torpedo that has a larger, more unstable payload, as well as a point-defense screen of light Annihilator rockets that are launched as the Hammer approaches its target. As a result, the Dagger (XIV) has a higher damage potential than conventional Dagger bombers but relies on close-in tactics to accurately strike its target.

An experimental predecessor to the Atropos-wielding Dagger bomber, the Dagger (XIV) was beset by many technical issues that ultimately resulted in the bomber being unused until its more successful high-tech variant was perfected during the Expansion era. Their Hammer torpedos tended to drift off course from their intended target, and initial prototypes of the Annihilator PD screen proved to be unreliable. Although few forge templates were ever made for the Dagger prototype, one eventually found its way into the hands of an enterprising Iron Shell engineer, who promptly set to work trying to fix the defective bomber. After much trial and error, the engineer managed to correct the numerous problems plaguing the prototype; at long last, the experimental bomber was ready for use by the Hegemony. Quickly adopted by Iron Shell carrier battlegroup commanders, the incredible power of the bomber's Hammer torpedo perfectly supplemented the powerful bomber payloads typical to Hegemony fleets.",,,,
#Hegemony Aux,,,,,,
eis_mining_drone,SHIP,Hegemony miners facing piracy and other threats to their commercial operations inspired a Galatian graduate student from the Department of AI Defense Studies to develop a sturdier mining drone that could operate independently in defense of its host carrier. Its intelligence level has been questioned by the Luddic faith and addressed by its stripped programming to even be compatible with delta-level AI.,,,,
eis_talon,SHIP,"Before the Defense of Chicomoztoc, this craft was developed in an attempt to mitigate the heavy casualties associated with the regular Talon strike craft. To preserve their pilots (primarily conscripted civilians and prospective officer candidates), the Hegemony Navy produced a Talon derivative equipped with improved armor at the cost of wing size. No longer being confined within what the conscripts referred to as ""flying coffins,"" morale within the non-commissioned strike craft corps improved a great deal after the introduction of the new armored Talon.",,,,
#Pirates,,,,,,
eis_piranha,SHIP,"""Every day I'm baffled by the technology of the Domain, the microforge says it's creating an engine, cabin, electronics, yet the space is empty, only when it reaches the payload do I see the marvel of this beauty made manifest.""",,,,
,,,,,,
#Ships,,,,,,
eis_audacious,SHIP,"Essentially a miniaturized Vengeance, the Audacious-class destroyer was designed in tandem with the Vengeance-class as a companion carrier and nimble escort vessel. Lacking a Vengeance Core due to space constraints, the Audacious is able to piggyback off a deployed Vengeance Core-equipped vessel to increase the efficiency of its shields, the performance of its engines, and its peak performance time.",,,,
eis_flagellator,SHIP,"Equipped with upgraded dampener systems, a modular hangar, as well as a pair of medium composite hardpoints, the XIV Battlegroup adaption of the Flagellator-class destroyer is more than capable of facing whatever threats the enemies of the Hegemony can throw at it.

Built for speed, the Flagellator is a dedicated hunter-killer designed to chase down and eliminate fast targets.",,,,
eis_vengeance,SHIP,"Designed with one purpose in mind, the first Vengeance-class ships were deployed in high-priority engagements against rogue Domain Explorarium drones. The Vengeance is equipped with an unusual set of subsystems known collectively as the 'Vengeance Core', allowing the ship to create concussive blasts that deflect missiles and send them straight back at the enemy while reinforcing its shields. This, combined with its two flight decks, drones, and generous main armament make the Vengeance a strong counter to the missile-heavy fleets of the Explorarium. It is also, perhaps as an afterthought, quite effective against any post-Collapse commanders that become too missile-happy for the Hegemony's liking.",,,,
eis_indomitable,SHIP,"The Indomitable-class cruiser was designed to be a more agile, offense-oriented companion to the Dominator. While it may lack the former's staying power, it can still take quite a beating with careful use of its Rampage Drive, a combination of a dampener field and the brief activation of a burn drive.",,,,
eis_mora,SHIP,"Before their retirement from service in the Domain Navy, Mora-class carriers were extensively used by the Fourteenth Battlegroup. While many of these ships had layouts and configurations similar to the contemporary, remilitarized Mora, a select few received upgrades to match the fleet doctrine of the Fourteenth Battlegroup, utilizing a heavier ballistic complement to outlast the Battlegroup's enemies. Despite the mass decommissioning of the Domain's stock of Mora-class cruisers in favor of nimbler carriers like the Heron, the Mora (XIV) continued to see usage within the Fourteenth Battlegroup, never quite leaving service despite several shifts in fleet doctrine.",,,,
eis_eradicator,SHIP,"Back in the long cycles of the Domain, an embarrassing demonstration of the ship in the core sector allowed a discreet transfer of these fast cruisers over to the Fourteenth Battlegroup. The resilient design of the Eradicator was improved by the engineers of the Battlegroup to feature a missile microforge allowing its production to deliver a decisive blow to its enemies.",,,,
eis_endeavor,SHIP,"Proponents of newer schools of thought in the Domain's 'decisive battle' doctrine criticized the Legion for being too specialized and inflexible in its role. After years of heated debate, these criticisms led to the commissioning of the Endeavor class of battlecarriers. Derived from an older prototype version of the Legion, the Endeavor features significantly increased baseline engine performance, a Jump Thruster system for versatile mobility, and a compact missile microforge. As a result, the Endeavor is much more suited to extended frontline engagements than its lumbering counterpart, but this comes at the cost of the Legion's armor plating and fighter bay capacity.",,,,
eis_tyrant,SHIP,"Despite its abandonment by the Fourteenth Battlegroup prior to the Collapse, the Tyrant (XIV) proved to be the ideal testing ground for House Celeste's Aquila Reactor Protocol. By combining its high mobility with a groundbreaking system for weaponizing flux, the Tyrant (XIV) is a mainstay in Iron Shell fleets as a spearhead that breaks through enemy lines.

The Tyrant (XIV) was intended to replace the Onslaught as the Fourteenth's primary ship of the line, using its superior mobility and diverse strike package to win engagements instead of the heavy armor and frontal firepower of the Onslaught. Instead, the Fourteenth Battlegroup-spec armor plating slowed the Tyrant down, effectively turning it into a lightly armored, poorly armed Onslaught. The project was deemed a failure and all Tyrant (XIV) prototypes destroyed.

In the years after the First AI War, House Celeste was able to acquire the old Tyrant (XIV) blueprints during its scramble to maintain its position in the Hegemony's hierarchy. Using it as a testbed for the groundbreaking Aquila Reactor, House Celeste used its advanced flux management qualities to turn the Tyrant's antiquated flux dispersal system into a weapon of war. Its mobility was also increased despite the Tyrant (XIV)'s armor advantage over its baseline counterpart. The result is a fearsome weapon of war that is used extensively by the Hegemony Ministry of Commerce and Iron Shell to protect the state and punish tax evaders.",,,,
,,,,,,
#Ships with codex entries,,,,,,
eis_valorous,SHIP,"The Valorous is an advanced frigate design that, while expensive to manufacture and deploy, has unrivaled effectiveness against most vessels. The Valorous is incredibly fast and powerful for a ship of its size due to its Zandatsu mobility system and twin medium hardpoints. The only limiting factors on this frigate's combat effectiveness are its relative fragility and the skills of its pilot.

The Valorous owes its daunting combat ability to a suite of highly specialized systems, the foremost of which are referred to as the ""Zandatsu Subsystems"". Iron Shell officials have publicly stated that the ship utilizes an array of Delta-level AI cores; how their engineers were able to work past the lack of computational power apparent to Delta AIs and other problems inherent to multi-core AI clusters remains to be seen.

The creation of the Valorous is shrouded in mystery. For such an advanced vessel, there is precious little information available regarding its design. What is known seems to suggest that the Valorous is a pre-Collapse prototype that was never properly developed due to an abundance of issues that were only recently solved by Iron Shell's research and development division. Earlier attempts by Hegemony engineers resulted in two individuals being incarcerated on Yami for attempting to utilize a Gamma level AI core in the ship. Unfortunately, these attempts failed, as even the computational power of a Gamma-level AI proved to be insufficient in dealing with the complexities of the Zandatsu systems.

Few Valorous frigates exist at any given moment, and there are even fewer pilots skilled enough to unleash their full potential. Pilots of these ships are typically esteemed Peacekeeper interceptor aces familiar with the neural interface required to pilot the vessel. The pilot handles piloting and three-dimensional maneuvering, while the AI handles mundane things such as shield and targeting solution optimizations, managing the vessel's two Gunblade drones, multiple minor subsystems, and the use of the Zandatsu subsystems.",,,,
eis_courageous,SHIP,"A fast, aggressive frigate that excels at dueling ships of similar size, the Courageous is entirely forward-focused and relies on its agility and drones for point defense. Its powerful thrusters and versatile Gunblade drones are invaluable in combat, though it is more expensive to deploy and service than typical frigates.

Built as a response to widespread adoption of the Centurion by rebel fleets, Courageous-class frigates use their speed to set the terms of engagement and have the weapons complement needed to overpower most other frigates. The Hegemony prizes its integrated Gunblade drones, which serve a similar role to the infamous Terminators without their potentially dangerous AI guidance systems.",,,,
eis_champion,SHIP,"The first time a Hegemony officer laid eyes on a Champion was during the First AI War. The heavy cruiser was a formidable opponent, and the sudden introduction of a new ship into the Persean Sector was cause for alarm. While the cruiser itself was nothing out of the ordinary, the ability of the League to develop new warships prompted an immediate investigation into the warship. Reading into the history of the vessel, Hegemony officials were convinced that they had been cheated. The Champion, in their eyes, was meant for the Fourteenth Battlegroup and its plans rightfully theirs. 

A sense of wounded pride developed in the officers of the Hegemony, growing into a wave of revanchism that reached its peak when several of the cruisers were recovered after a battle with the Persean League. House Celeste, out of favor with Hegemony leadership after the devastation of the First AI War and looking for a way back into the High Hegemon's good graces, acquired these ships and overhauled them to match Hegemony doctrine. The design of the Champion was upgraded with salvaged Fourteenth Battlegroup materiel and modified to better fit Hegemony naval doctrine. In particular, the ship's turrets and subsystems support a wider array of weaponry while the built-in Annihilation Protocol allows the Champion (XIV) to overcharge its weapons systems beyond their original capabilities. Bedecked in Fourteenth Battlegroup livery, the retrofitted Champion shows that the Hegemony's best days are not behind it.
 
The Champion-class heavy cruiser is a versatile warship featuring a range of powerful weapons; the crowning element is a heavy hybrid turret mounting, rare among midline ships. This offensive array is backed by a robust power grid capable of supercharging the ship's weapon loadout, increasing damage output to devastating levels. A heavy missile hardpoint complements the loadout by enabling the Champion to unleash crippling strikes without taxing flux levels. The Champion is a solid and capable contender, able to face capital ships on the battle-line.	  
 ",,,,
eis_skyrend,SHIP,"A recent addition to Iron Shell and Hegemony fleets, the Skysplitter (XIV) represents the perfection of House Celeste's Annihilation Protocol system and is a fast, powerful frontline combatant. Paired with a proper escort, its massive frontal firepower can overpower enemy capital craft with ease. The relatively uncommon Skysplitter (XIV) is now the scalpel to the Onslaught's hammer, finding a home in special forces and expeditionary tax assessment fleets throughout the Hegemony's sphere of influence.

Flush with credits after the success of their Champion (XIV) refit, House Celeste engineers sought a larger midline hull to convert to Fourteenth Battlegroup spec for procurement by the Hegemony Navy. They settled on the Skysplitter, a relatively uncommon pocket battleship that sacrifices armor and hull integrity for extreme frontal firepower and flux dissipation. After improving the ship's armor and ballistic loadout, House Celeste's engineers determined that the oversized flux capacitors on the ship could be used to power a perfected version of the Champion (XIV)'s Annihilation Protocol. Despite several (tax-deductible) lab accidents, the researchers in charge of the project succeeded in producing what many consider to be the most overtuned vessel in the Fourteenth Battlegroup's arsenal. 

While the advanced materials used in its construction prevent the Skysplitter (XIV) from being fielded widely in Hegemony fleets, Iron Shell's nimbler navy uses them frequently and to great effect. As a result, tax cheats around the sector now regularly find themselves staring down 14 barrels of concentrated firepower. The few who decide not to pay up don't tend to last long before the Skysplitter (XIV) lives up to its name.",,,,
,,,,,,
#Systems,,,,,,
eis_drone_strike,SHIP_SYSTEM,"Ignites a Gunblade drone with a brief energy transfer. The drone tracks a nearby target like a missile, dealing massive area damage on impact.",Offensive,Supercharges one of the Gunblade drones and sends it after a target. The drone deals 1000 High Explosive damage and 250 EMP damage on impact.,1000 High Explosive | 250 EMP,
eis_damned_vengeance,SHIP_SYSTEM,"Projects a large concussive wave that reflects missiles. Successful reflection results in improved shield and engine efficiency. Failure causes the ship's systems to overload, increasing incoming shield damage and weakening its engines.",Defensive,"Projects a large concussive wave that reflects missiles. Successful reflection results in improved shield and engine efficiency. Failure causes the ship's systems to overload, increasing incoming shield damage and weakening its engines.",,
eis_taste_vengeance,SHIP_SYSTEM,"Projects a large concussive wave that reflects missiles. Successful reflection results in shield efficiency being improved. Failure causes ship systems to overload, increasing shield damage received.",Defensive,"Projects a large concussive wave that reflects missiles. Successful reflection results in shield efficiency being improved. Failure causes ship systems to overload, increasing shield damage received.",,
eis_jump,SHIP_SYSTEM,Launches the ship in a chosen direction in an explosive burst of speed. More effective for lateral movement.,Movement,Launches the ship in a chosen direction in a burst of speed. More effective for lateral movement.,,
eis_highballisticfocus,SHIP_SYSTEM,"Supercharges energy weaponry via additional capacitors, increasing damage output for 3 seconds. Also accelerates ballistic weapon ammunition loading, providing increased rate of fire and reduced flux cost while enhancing the ship's engines for 5 seconds.",Offensive,"Supercharges energy weaponry via additional capacitors, increasing damage output for 3 seconds. Also accelerates ballistic weapon ammunition loading, providing increased rate of fire and reduced flux cost while enhancing the ship's engines for 5 seconds.",3 | 5,
eis_microburn,SHIP_SYSTEM,"Provides a brief engine boost, propelling the ship forward at an extreme velocity.",Movement,"Provides a brief engine boost, propelling the ship forward at an extreme velocity.",,
eis_rampagedrive,SHIP_SYSTEM,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. Reduced damage taken and halved weapon rate of fire while active. A successful ram will deal bonus High Explosive Damage on impact.",Movement,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. A successful ram will deal a bonus 1500 High Explosive damage on impact. -66% damage taken and halved weapon rate of fire while active.",1500 High Explosive | -66%,
eis_rampagedrive2,SHIP_SYSTEM,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. Reduced damage taken and halved weapon rate of fire while active. A successful ram will deal bonus High Explosive Damage on impact.",Movement,"Diverts all shield and some weapon power to the ship's engines and dampeners for a short time. Will attempt to ram targets, otherwise charges straight forward. A successful ram will deal a bonus 1000 High Explosive damage on impact. -66% damage taken and halved weapon rate of fire while active.",1000 High Explosive | -66%,
eis_zandatsu,SHIP_SYSTEM,"Unleashes a concussive blast capable of reflecting missiles, then lunges in a direction, avoiding weapons fire and ships. If a missile was successfully reflected, gain additional ballistic rate of fire, ballistic weapon flux cost reduction, and shield efficiency.",Movement,"Unleashes a concussive blast capable of reflecting missiles, then lunges in a direction, avoiding weapons fire and ships. If a missile was successfully reflected, gain additional ballistic rate of fire, ballistic weapon flux cost reduction, and shield efficiency.",,
eis_secondwind,SHIP_SYSTEM,"When overloaded, vent all flux toward the autoforge, instantly replenishing missile ammunition.",Special,"When overloaded, vent all flux toward the autoforge, instantly replenishing missile ammunition.",,
